Variable,Measure,COU,Country,Year,Value
Diseases of the nervous system,Number of total deaths,AUT,Austria,2000,1113
Diseases of the nervous system,Number of total deaths,AUT,Austria,2001,1147
Diseases of the nervous system,Number of total deaths,AUT,Austria,2002,2267
Diseases of the nervous system,Number of total deaths,AUT,Austria,2003,2484
Diseases of the nervous system,Number of total deaths,AUT,Austria,2004,1879
Diseases of the nervous system,Number of total deaths,AUT,Austria,2005,1914
Diseases of the nervous system,Number of total deaths,AUT,Austria,2006,2067
Diseases of the nervous system,Number of total deaths,AUT,Austria,2007,2166
Diseases of the nervous system,Number of total deaths,AUT,Austria,2008,2347
Diseases of the nervous system,Number of total deaths,AUT,Austria,2009,2437
Diseases of the nervous system,Number of total deaths,AUT,Austria,2010,2471
Diseases of the nervous system,Number of total deaths,AUT,Austria,2011,2465
Diseases of the nervous system,Number of total deaths,AUT,Austria,2012,2702
Diseases of the nervous system,Number of total deaths,AUT,Austria,2013,2907
Diseases of the nervous system,Number of total deaths,AUT,Austria,2014,2649
Diseases of the nervous system,Number of total deaths,AUT,Austria,2015,2865
Diseases of the nervous system,Number of total deaths,AUT,Austria,2016,2867
Diseases of the circulatory system,Number of total deaths,AUT,Austria,1993,43513
Diseases of the circulatory system,Number of total deaths,AUT,Austria,1994,42654
Diseases of the circulatory system,Number of total deaths,AUT,Austria,1995,43447
Diseases of the circulatory system,Number of total deaths,AUT,Austria,1996,43751
Diseases of the circulatory system,Number of total deaths,AUT,Austria,1997,42991
Diseases of the circulatory system,Number of total deaths,AUT,Austria,1998,42544
Diseases of the circulatory system,Number of total deaths,AUT,Austria,1999,42111
Diseases of the circulatory system,Number of total deaths,AUT,Austria,2000,40111
Diseases of the circulatory system,Number of total deaths,AUT,Austria,2001,38385
Diseases of the circulatory system,Number of total deaths,AUT,Austria,2002,36906
Diseases of the circulatory system,Number of total deaths,AUT,Austria,2003,34914
Diseases of the circulatory system,Number of total deaths,AUT,Austria,2004,32486
Diseases of the circulatory system,Number of total deaths,AUT,Austria,2005,32636
Diseases of the circulatory system,Number of total deaths,AUT,Austria,2006,32489
Diseases of the circulatory system,Number of total deaths,AUT,Austria,2007,32864
Diseases of the circulatory system,Number of total deaths,AUT,Austria,2008,32294
Diseases of the circulatory system,Number of total deaths,AUT,Austria,2009,33223
Diseases of the circulatory system,Number of total deaths,AUT,Austria,2010,33196
Diseases of the circulatory system,Number of total deaths,AUT,Austria,2011,32374
Diseases of the circulatory system,Number of total deaths,AUT,Austria,2012,33931
